"id","postTitle","facebookUrl","profileId","profileName","date","text"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzE1NDQ3Nzk1NDE2MzA2OA==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:51:19.000Z","DI DEDAERAH KU,NAN**"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzgxNDAxNDUyOTgzMzg3MQ==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:49:10.000Z","NENG DESO NYININE,,"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzE0NjE0MTQ5OTQ2MDY2NjM=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:56:29.000Z","GOLEKNO TUKANG DEDADANE`YAH JOKOWI NYA`NANTINE*TAK KEINE*UANG MU*TIGA RATUS SAN EWU MU*NYA**"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzE3NjAxODMxMTQzNzk2ODM=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0PGgVwdSW9GZhcWAwLXkgmo5nTvHyA4iTSXYimRrK29GBECHHauMZCCPRwXQwJeZcl","Alfian Narendra","2023-06-01T07:32:05.000Z","buat para fans madrid. Sekalian nih gw kasih bahan"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzEyMTk0ODIwMTIwNzY4MTg=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:50:34.000Z","BELUM OLEH PARA SENG DADANI NAN..KE TE.TV,QU NYA,"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1Xzc4MTM0OTAyMzM2NDQwMQ==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:54:25.000Z","AYAH DI MUHAMMAD JOKOWI QU NYA*"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzU4NTE5MzIwMzQ2Mjc4Mg==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid02JSZFaZeRShxeGC2rcvrsBzp54dtp75tPyKH3J3MJtk2jVHapuXUwbANmJNravoW7l","Vimal Parves","2023-05-30T21:36:09.000Z",
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzE2MjkzMTc4OTc1MzY4Mzk=","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid0Px77hZG3SmEsw8mGLPN2iLFaVFrqr6SwjohT7e5W4Wuj251d2rdyRQqk2E6Bj5k4l","Rudy Ansyah","2023-06-03T07:47:54.000Z","Seluruh rakyat Indonesia???,
Gua kok gak ikutan ya???, 🤔🤔🤔"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzYyODgyODI1MjQ5MDgzMA==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid02AVaem6uio5Aa1qRxdWvK97jHpSUDRBPvcVcpbAAMyybgFaqT4bwQZ5EBNLWAJU3Yl","Galang R Rembulan","2023-06-03T14:37:24.000Z","Voting dilakukan seluruh masyarakat Indonesia ..   ??? 🤣🤣🤣 Bohoooong beritamu"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzExMjQzMDE4Mzg1MzAxMjg=","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid0v8U7wMMfXtpChMb1WBuGK47HE3AnUdaiMMJQUHBcvvphS5gz5AkJDf58xCGxv15l","M Rezky Pratama","2023-06-02T16:22:43.000Z","Voting dmn?????,saya sekabupaten gak pernah merasa di ikut sertakan dalam Voting IKN,pak...dan gak tau kapan Votingnya????
Baik di Medsos apalagi via WA"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0Xzk2NDE0MDYxMTUyNzY3NA==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid02YtrTzEzTcCL3z3JJgu8d36er5ehAqEKd2PMMdJpvEcXLyu67JtAbLmrT4FsmuerLl","Dans Ramadhan","2023-06-02T09:38:43.000Z","Voting seluruh masyarakat indonesia??🤔🤔🤔
Kapan voting nya??"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzIwNTI0ODU0NTc3ODczOA==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid0K3HanEYv6g29yDYYUpCFouake2pYqkcX4WXumqtDD6LUVkuEa88GFi88WvpknGmTl","Khalil Gibran","2023-06-02T14:15:30.000Z","Masyarakat mana tong"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzgzMzIxNzg3NDg5NTIxMQ==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","100005850404811","Jaya Hardi Kusuma","2023-06-03T07:00:27.000Z","Masyarakat yang mana? Kapan votingnya"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0Xzc3MTExMjA2MTEzOTE0Mg==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid02iB3K1kgimvNxcdWzJroyzUrBG8CppTQdD5LCQN46q3F4YotqSfzGCpPVuXGLTfagl","Muhajirin","2023-06-02T12:45:09.000Z","Ini berita ngawur,kapan ada voting dari seluruh rakyat Indonesia? IKN adalah proyek oligarki yang dipaksakan oleh rezim demi pencitraan seolah-olah rezim paling mampu membangun, padahal ,modal ngutang dan tidak memberi manfaat bagi  kesejahteraan rakyat"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzcxNDE5MDA2NzE3ODU1OA==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","100021244479286","Tarono","2023-06-03T05:03:36.000Z","Saya warga negara Republik Indonesia, perasaan gak ada yg minta vote apapun"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzU1NTQ3ODg2MzQyMDgwNA==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid0bF3FpC3aiesQjHQA3yvDft1sSWDdf7KFKa5BbX2uynsJmRpBfuoHt2SwEF4Y6cR9l","Wahyudi","2023-06-03T11:37:33.000Z","Cm ngibul...."
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzIzODg0NTU0ODc3NTM0MA==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","pfbid0TnErKnPdkNegq8kBisfW8J8EJmCQHD7ZRv2xJbTYNARDEnpBGW41naEEtzLcJxYJl","Mbah Pon","2023-06-03T23:13:56.000Z","Untuk menyempurnakan logo IKN pohon hayat sebaiknya untuk nama jalan  juga menggunakan nama2 pohon nama2 bunga dan nama2 buah."
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzczNjQ4OTkzNDg5MTQ2OQ==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","100003889458748","Debbok","2023-06-04T00:12:14.000Z","Periode mau habis ibu kota baru blm rampung👍bilangnya kerja kerja kerja"
"Y29tbWVudDo3MDMwMzQ2MDAwMzE0ODg0XzU2MDI2MTI0OTY0MDc3OA==","Pembangunan Ibu Kota Nusantara (IKN) masih akan terus berjalan. Kini, logo untuk IKN telah ditetapkan dari hassil voting seluruh masyarakat Indonesia....","https://fb.watch/kX_2qXstdj/","100001492013429","Dede Noer","2023-06-02T12:59:36.000Z","Ikn boleh d buat tapi untuk simbol negara cukup yg sudah ada saja yg sudah d paten kan para pendahulu..takut nya warna bendera dan simbol"" yg lain nya pun ikut berubah..( sekedar pemikiran saya yg awam mohon d maaf kan dan di lurus kan apa bila salah )🙏🙏"
